828
 T61  C99  1   L1C  N99  1  0.134   T61   L1C
 T61  C99  1   L1N  N99  1  0.134   T61   L1N
 T61  C99  1   L1R  N99  1  0.134   T61   L1R
 Tth  C99  1   C3C  N99  1  0.137   Tth   C3C
 Tth  C99  1   C3R  N99  1  0.135   Tth   C3R
 Tth  C99  1   E3N  N99  1  0.136   Tth   E3N
 Tth  C99  1   L2C  N99  1  0.137   Tth   L2C
 Tth  C99  1   L2N  N99  1  0.134   Tth   L2N
 Tth  C99  1   L2R  N99  1  0.137   Tth   L2R
 C3N  C99  1   C2C  N99  1  0.133   C3N   C2C
 C3N  C99  1   C2R  N99  1  0.134   C3N   C2R
 C3N  C99  1   E2N  N99  1  0.134   C3N   E2N
 C3N  C99  1   L1C  N99  1  0.134   C3N   L1C
 C3N  C99  1   L1N  N99  1  0.134   C3N   L1N
 C3N  C99  1   L1R  N99  1  0.134   C3N   L1R
 C3W  C99  1   L1C  N99  1  0.133   C3W   L1C
 C3W  C99  1   L1N  N99  1  0.133   C3W   L1N
 C3W  C99  1   L1R  N99  1  0.133   C3W   L1R
 C55  C99  1   C2C  N99  1  0.135   C55   C2C
 C55  C99  1   C2R  N99  1  0.135   C55   C2R
 C55  C99  1   E2N  N99  1  0.135   C55   E2N
 C55  C99  1   L1C  N99  1  0.134   C55   L1C
 C55  C99  1   L1N  N99  1  0.134   C55   L1N
 C55  C99  1   L1R  N99  1  0.134   C55   L1R
 C5N  C99  1   C2C  N99  1  0.133   C5N   C2C
 C5N  C99  1   C2R  N99  1  0.134   C5N   C2R
 C5N  C99  1   E2N  N99  1  0.134   C5N   E2N
 C5N  C99  1   L1C  N99  1  0.134   C5N   L1C
 C5N  C99  1   L1N  N99  1  0.134   C5N   L1N
 C5N  C99  1   L1R  N99  1  0.134   C5N   L1R
 C5W  C99  1   L1C  N99  1  0.134   C5W   L1C
 C5W  C99  1   L1N  N99  1  0.135   C5W   L1N
 C5W  C99  1   L1R  N99  1  0.134   C5W   L1R
 C75  C99  1   L1C  N99  1  0.133   C75   L1C
 C75  C99  1   L1N  N99  1  0.133   C75   L1N
 C75  C99  1   L1R  N99  1  0.134   C75   L1R
 C7N  C99  1   L1C  N99  1  0.133   C7N   L1C
 C7N  C99  1   L1N  N99  1  0.134   C7N   L1N
 C7N  C99  1   L1R  N99  1  0.133   C7N   L1R
 C3W  C99  1   DAO  N99  1  0.132   C3W   DAO
 C3W  C99  1   DGO  N99  1  0.132   C3W   DGO
 C3W  C99  1   DCO  N99  1  0.132   C3W   DCO
 C3W  C99  1   DTO  N99  1  0.132   C3W   DTO
 C3W  C99  1   DAP  N99  1  0.132   C3W   DAP
 C3W  C99  1   DGP  N99  1  0.132   C3W   DGP
 C3W  C99  1   DCP  N99  1  0.132   C3W   DCP
 C3W  C99  1   DTP  N99  1  0.132   C3W   DTP
 C3W  C99  1   RAO  N99  1  0.132   C3W   RAO
 C3W  C99  1   RGO  N99  1  0.132   C3W   RGO
 C3W  C99  1   RCO  N99  1  0.132   C3W   RCO
 C3W  C99  1   RUO  N99  1  0.132   C3W   RUO
 C3W  C99  1   RAP  N99  1  0.132   C3W   RAP
 C3W  C99  1   RGP  N99  1  0.132   C3W   RGP
 C3W  C99  1   RCP  N99  1  0.132   C3W   RCP
 C3W  C99  1   RUP  N99  1  0.132   C3W   RUP
 C3W  C99  1   DTM  N99  1  0.132   C3W   DTM
 C3W  C99  1   RUM  N99  1  0.132   C3W   RUM
 C3W  C99  1   RAE  N99  1  0.132   C3W   RAE
 C3W  C99  1   RCE  N99  1  0.132   C3W   RCE
 C3W  C99  1   DAE  N99  1  0.132   C3W   DAE
 C3W  C99  1   DCE  N99  1  0.132   C3W   DCE
 C3W  C99  1   RAH  N99  1  0.155   C3W   RAH
 C3W  C99  1   RGH  N99  1  0.155   C3W   RGH
 C3W  C99  1   RCH  N99  1  0.155   C3W   RCH
 C3W  C99  1   RUH  N99  1  0.155   C3W   RUH
 C5W  C99  1   DAO  N99  1  0.132   C5W   DAO
 C5W  C99  1   DGO  N99  1  0.132   C5W   DGO
 C5W  C99  1   DCO  N99  1  0.132   C5W   DCO
 C5W  C99  1   DTO  N99  1  0.132   C5W   DTO
 C5W  C99  1   DAP  N99  1  0.132   C5W   DAP
 C5W  C99  1   DGP  N99  1  0.132   C5W   DGP
 C5W  C99  1   DCP  N99  1  0.132   C5W   DCP
 C5W  C99  1   DTP  N99  1  0.132   C5W   DTP
 C5W  C99  1   RAO  N99  1  0.132   C5W   RAO
 C5W  C99  1   RGO  N99  1  0.132   C5W   RGO
 C5W  C99  1   RCO  N99  1  0.132   C5W   RCO
 C5W  C99  1   RUO  N99  1  0.132   C5W   RUO
 C5W  C99  1   RAP  N99  1  0.132   C5W   RAP
 C5W  C99  1   RGP  N99  1  0.132   C5W   RGP
 C5W  C99  1   RCP  N99  1  0.132   C5W   RCP
 C5W  C99  1   RUP  N99  1  0.132   C5W   RUP
 C5W  C99  1   DTM  N99  1  0.132   C5W   DTM
 C5W  C99  1   RUM  N99  1  0.132   C5W   RUM
 C5W  C99  1   RAE  N99  1  0.132   C5W   RAE
 C5W  C99  1   RCE  N99  1  0.132   C5W   RCE
 C5W  C99  1   DAE  N99  1  0.132   C5W   DAE
 C5W  C99  1   DCE  N99  1  0.132   C5W   DCE
 C5W  C99  1   RAH  N99  1  0.155   C5W   RAH
 C5W  C99  1   RGH  N99  1  0.155   C5W   RGH
 C5W  C99  1   RCH  N99  1  0.155   C5W   RCH
 C5W  C99  1   RUH  N99  1  0.155   C5W   RUH
 C7N  C99  1   DAO  N99  1  0.132   C7N   DAO
 C7N  C99  1   DGO  N99  1  0.132   C7N   DGO
 C7N  C99  1   DCO  N99  1  0.132   C7N   DCO
 C7N  C99  1   DTO  N99  1  0.132   C7N   DTO
 C7N  C99  1   DAP  N99  1  0.132   C7N   DAP
 C7N  C99  1   DGP  N99  1  0.132   C7N   DGP
 C7N  C99  1   DCP  N99  1  0.132   C7N   DCP
 C7N  C99  1   DTP  N99  1  0.132   C7N   DTP
 C7N  C99  1   RAO  N99  1  0.132   C7N   RAO
 C7N  C99  1   RGO  N99  1  0.132   C7N   RGO
 C7N  C99  1   RCO  N99  1  0.132   C7N   RCO
 C7N  C99  1   RUO  N99  1  0.132   C7N   RUO
 C7N  C99  1   RAP  N99  1  0.132   C7N   RAP
 C7N  C99  1   RGP  N99  1  0.132   C7N   RGP
 C7N  C99  1   RCP  N99  1  0.132   C7N   RCP
 C7N  C99  1   RUP  N99  1  0.132   C7N   RUP
 C7N  C99  1   DTM  N99  1  0.132   C7N   DTM
 C7N  C99  1   RUM  N99  1  0.132   C7N   RUM
 C7N  C99  1   RAE  N99  1  0.132   C7N   RAE
 C7N  C99  1   RCE  N99  1  0.132   C7N   RCE
 C7N  C99  1   DAE  N99  1  0.132   C7N   DAE
 C7N  C99  1   DCE  N99  1  0.132   C7N   DCE
 C7N  C99  1   RAH  N99  1  0.155   C7N   RAH
 C7N  C99  1   RGH  N99  1  0.155   C7N   RGH
 C7N  C99  1   RCH  N99  1  0.155   C7N   RCH
 C7N  C99  1   RUH  N99  1  0.155   C7N   RUH
 C55  C99  1   DAO  N99  1  0.132   C55   DAO
 C55  C99  1   DGO  N99  1  0.132   C55   DGO
 C55  C99  1   DCO  N99  1  0.132   C55   DCO
 C55  C99  1   DTO  N99  1  0.132   C55   DTO
 C55  C99  1   DAP  N99  1  0.132   C55   DAP
 C55  C99  1   DGP  N99  1  0.132   C55   DGP
 C55  C99  1   DCP  N99  1  0.132   C55   DCP
 C55  C99  1   DTP  N99  1  0.132   C55   DTP
 C55  C99  1   RAO  N99  1  0.132   C55   RAO
 C55  C99  1   RGO  N99  1  0.132   C55   RGO
 C55  C99  1   RCO  N99  1  0.132   C55   RCO
 C55  C99  1   RUO  N99  1  0.132   C55   RUO
 C55  C99  1   RAP  N99  1  0.132   C55   RAP
 C55  C99  1   RGP  N99  1  0.132   C55   RGP
 C55  C99  1   RCP  N99  1  0.132   C55   RCP
 C55  C99  1   RUP  N99  1  0.132   C55   RUP
 C55  C99  1   DTM  N99  1  0.132   C55   DTM
 C55  C99  1   RUM  N99  1  0.132   C55   RUM
 C55  C99  1   RAE  N99  1  0.132   C55   RAE
 C55  C99  1   RCE  N99  1  0.132   C55   RCE
 C55  C99  1   DAE  N99  1  0.132   C55   DAE
